county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Ontonagon,"McMillan Township, Precinct 1",President,,LIB,Chase Oliver,0,,,,
Ontonagon,"McMillan Township, Precinct 1",President,,UST,Randall Terry,0,,,,
Ontonagon,"McMillan Township, Precinct 1",President,,GRN,Jill Stein,0,,,,
Ontonagon,"McMillan Township, Precinct 1",President,,NLP,Robert F. Kennedy,1,,,,
Ontonagon,"McMillan Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Ontonagon,"McMillan Township, Precinct 1",President,,,Cornel West,0,,,,
Ontonagon,"Ontonagon Township, Precinct 1",President,,LIB,Chase Oliver,7,,,,
Ontonagon,"Ontonagon Township, Precinct 1",President,,UST,Randall Terry,4,,,,
Ontonagon,"Ontonagon Township, Precinct 1",President,,GRN,Jill Stein,2,,,,
Ontonagon,"Ontonagon Township, Precinct 1",President,,NLP,Robert F. Kennedy,5,,,,
Ontonagon,"Ontonagon Township, Precinct 1",President,,,Joseph Kishore,1,,,,
Ontonagon,"Ontonagon Township, Precinct 1",President,,,Cornel West,1,,,,
Ontonagon,"Rockland Township, Precinct 1",President,,LIB,Chase Oliver,0,,,,
Ontonagon,"Rockland Township, Precinct 1",President,,UST,Randall Terry,0,,,,
Ontonagon,"Rockland Township, Precinct 1",President,,GRN,Jill Stein,1,,,,
Ontonagon,"Rockland Township, Precinct 1",President,,NLP,Robert F. Kennedy,0,,,,
Ontonagon,"Rockland Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Ontonagon,"Rockland Township, Precinct 1",President,,,Cornel West,0,,,,
Ontonagon,"Stannard Township, Precinct 1",President,,LIB,Chase Oliver,2,,,,
Ontonagon,"Stannard Township, Precinct 1",President,,UST,Randall Terry,0,,,,
Ontonagon,"Stannard Township, Precinct 1",President,,GRN,Jill Stein,0,,,,
Ontonagon,"Stannard Township, Precinct 1",President,,NLP,Robert F. Kennedy,1,,,,
Ontonagon,"Stannard Township, Precinct 1",President,,,Joseph Kishore,0,,,,
Ontonagon,"Stannard Township, Precinct 1",President,,,Cornel West,0,,,,
Ontonagon,"Bergland Township, Precinct 1",President,,,Write-ins,0,,,,
Ontonagon,"Bohemia Township, Precinct 1",President,,,Write-ins,0,,,,
Ontonagon,"Carp Lake Township, Precinct 1",President,,,Write-ins,0,,,,
Ontonagon,"Greenland Township, Precinct 1",President,,,Write-ins,2,,,,
Ontonagon,"Haight Township, Precinct 1",President,,,Write-ins,0,,,,
Ontonagon,"Interior Township, Precinct 1",President,,,Write-ins,0,,,,
Ontonagon,"Matchwood Township, Precinct 1",President,,,Write-ins,0,,,,
Ontonagon,"McMillan Township, Precinct 1",President,,,Write-ins,0,,,,
Ontonagon,"Ontonagon Township, Precinct 1",President,,,Write-ins,1,,,,
Ontonagon,"Rockland Township, Precinct 1",President,,,Write-ins,0,,,,
Ontonagon,"Stannard Township, Precinct 1",President,,,Write-ins,0,,,,
