county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Columbia,ORANGEVILLE BOROUGH,U.S. House,9,REP,DAN MEUSER,119,,,,
Columbia,PINE TWP,U.S. House,9,DEM,AMANDA WALDMAN,118,,,,
Columbia,PINE TWP,U.S. House,9,REP,DAN MEUSER,497,,,,
Columbia,ROARINGCREEK TWP,U.S. House,9,DEM,AMANDA WALDMAN,83,,,,
Columbia,ROARINGCREEK TWP,U.S. House,9,REP,DAN MEUSER,299,,,,
Columbia,SCOTT TWP EAST,U.S. House,9,DEM,AMANDA WALDMAN,674,,,,
Columbia,SCOTT TWP EAST,U.S. House,9,REP,DAN MEUSER,986,,,,
Columbia,SCOTT TWP WEST,U.S. House,9,DEM,AMANDA WALDMAN,610,,,,
Columbia,SCOTT TWP WEST,U.S. House,9,REP,DAN MEUSER,911,,,,
Columbia,SOUTH CENTRE TWP,U.S. House,9,DEM,AMANDA WALDMAN,201,,,,
Columbia,SOUTH CENTRE TWP,U.S. House,9,REP,DAN MEUSER,571,,,,
Columbia,STILLWATER BOROUGH,U.S. House,9,DEM,AMANDA WALDMAN,27,,,,
Columbia,STILLWATER BOROUGH,U.S. House,9,REP,DAN MEUSER,94,,,,
Columbia,SUGARLOAF TWP,U.S. House,9,DEM,AMANDA WALDMAN,113,,,,
Columbia,SUGARLOAF TWP,U.S. House,9,REP,DAN MEUSER,441,,,,
Columbia,BEAVER TWP,U.S. House,9,,Write-ins,0,,,,
Columbia,BENTON TWP,U.S. House,9,,Write-ins,0,,,,
Columbia,BENTON BOROUGH,U.S. House,9,,Write-ins,0,,,,
Columbia,BERWICK 1ST WARD,U.S. House,9,,Write-ins,3,,,,
Columbia,BERWICK 2ND WARD,U.S. House,9,,Write-ins,0,,,,
Columbia,BERWICK 3RD WARD,U.S. House,9,,Write-ins,3,,,,
Columbia,BERWICK 4TH WARD,U.S. House,9,,Write-ins,0,,,,
Columbia,BLOOMSBURG 1ST WARD,U.S. House,9,,Write-ins,0,,,,
Columbia,BLOOMSBURG 2ND WARD,U.S. House,9,,Write-ins,1,,,,
Columbia,BLOOMSBURG 3-1 WARD,U.S. House,9,,Write-ins,0,,,,
Columbia,BLOOMSBURG 3-2 WARD,U.S. House,9,,Write-ins,1,,,,
Columbia,BLOOMSBURG 4TH WARD,U.S. House,9,,Write-ins,2,,,,
Columbia,BRIARCREEK TWP NORTHEAST,U.S. House,9,,Write-ins,0,,,,
Columbia,BRIARCREEK TWP WEST,U.S. House,9,,Write-ins,2,,,,
Columbia,BRIARCREEK BORO,U.S. House,9,,Write-ins,2,,,,
Columbia,CATAWISSA TWP,U.S. House,9,,Write-ins,1,,,,
Columbia,CATAWISSA BOROUGH,U.S. House,9,,Write-ins,0,,,,
Columbia,CENTRALIA BOROUGH,U.S. House,9,,Write-ins,0,,,,
Columbia,CLEVELAND TWP,U.S. House,9,,Write-ins,0,,,,
Columbia,CONYNGHAM TWP,U.S. House,9,,Write-ins,0,,,,
Columbia,FISHINGCREEK TWP,U.S. House,9,,Write-ins,1,,,,
Columbia,FRANKLIN TWP,U.S. House,9,,Write-ins,0,,,,
Columbia,GREENWOOD TWP,U.S. House,9,,Write-ins,0,,,,
Columbia,HEMLOCK TWP,U.S. House,9,,Write-ins,0,,,,
Columbia,JACKSON TWP,U.S. House,9,,Write-ins,2,,,,
Columbia,LOCUST TWP,U.S. House,9,,Write-ins,0,,,,
Columbia,MADISON TWP,U.S. House,9,,Write-ins,1,,,,
Columbia,MAIN TWP,U.S. House,9,,Write-ins,0,,,,
Columbia,MIFFLIN TWP,U.S. House,9,,Write-ins,0,,,,
Columbia,MILLVILLE BOROUGH,U.S. House,9,,Write-ins,1,,,,
Columbia,MONTOUR TWP,U.S. House,9,,Write-ins,2,,,,
Columbia,MOUNT PLEASANT TWP,U.S. House,9,,Write-ins,0,,,,
Columbia,NORTH CENTRE TWP,U.S. House,9,,Write-ins,1,,,,
Columbia,ORANGE TWP,U.S. House,9,,Write-ins,4,,,,
Columbia,ORANGEVILLE BOROUGH,U.S. House,9,,Write-ins,0,,,,
Columbia,PINE TWP,U.S. House,9,,Write-ins,1,,,,
Columbia,ROARINGCREEK TWP,U.S. House,9,,Write-ins,1,,,,
Columbia,SCOTT TWP EAST,U.S. House,9,,Write-ins,4,,,,
Columbia,SCOTT TWP WEST,U.S. House,9,,Write-ins,2,,,,
Columbia,SOUTH CENTRE TWP,U.S. House,9,,Write-ins,2,,,,
Columbia,STILLWATER BOROUGH,U.S. House,9,,Write-ins,0,,,,
Columbia,SUGARLOAF TWP,U.S. House,9,,Write-ins,1,,,,
