county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Branch,California Township,Straight Party,,NLP,Natural Law,0,,,,
Branch,Coldwater Township,Straight Party,,DEM,Democratic,253,,,,
Branch,Coldwater Township,Straight Party,,REP,Republican,961,,,,
Branch,Coldwater Township,Straight Party,,LIB,Libertarian,3,,,,
Branch,Coldwater Township,Straight Party,,UST,U.S. Taxpayers,3,,,,
Branch,Coldwater Township,Straight Party,,GRN,Green,0,,,,
Branch,Coldwater Township,Straight Party,,WCP,Working Class,5,,,,
Branch,Coldwater Township,Straight Party,,NLP,Natural Law,0,,,,
Branch,Gilead Township,Straight Party,,DEM,Democratic,40,,,,
Branch,Gilead Township,Straight Party,,REP,Republican,168,,,,
Branch,Gilead Township,Straight Party,,LIB,Libertarian,1,,,,
Branch,Gilead Township,Straight Party,,UST,U.S. Taxpayers,0,,,,
Branch,Gilead Township,Straight Party,,GRN,Green,0,,,,
Branch,Gilead Township,Straight Party,,WCP,Working Class,2,,,,
Branch,Gilead Township,Straight Party,,NLP,Natural Law,0,,,,
Branch,Girard Township,Straight Party,,DEM,Democratic,144,,,,
Branch,Girard Township,Straight Party,,REP,Republican,493,,,,
Branch,Girard Township,Straight Party,,LIB,Libertarian,3,,,,
Branch,Girard Township,Straight Party,,UST,U.S. Taxpayers,3,,,,
Branch,Girard Township,Straight Party,,GRN,Green,1,,,,
Branch,Girard Township,Straight Party,,WCP,Working Class,1,,,,
Branch,Girard Township,Straight Party,,NLP,Natural Law,0,,,,
Branch,Kinderhook Township,Straight Party,,DEM,Democratic,119,,,,
Branch,Kinderhook Township,Straight Party,,REP,Republican,436,,,,
Branch,Kinderhook Township,Straight Party,,LIB,Libertarian,1,,,,
Branch,Kinderhook Township,Straight Party,,UST,U.S. Taxpayers,0,,,,
Branch,Kinderhook Township,Straight Party,,GRN,Green,1,,,,
Branch,Kinderhook Township,Straight Party,,WCP,Working Class,1,,,,
Branch,Kinderhook Township,Straight Party,,NLP,Natural Law,0,,,,
Branch,Matteson Township,Straight Party,,DEM,Democratic,100,,,,
Branch,Matteson Township,Straight Party,,REP,Republican,297,,,,
Branch,Matteson Township,Straight Party,,LIB,Libertarian,0,,,,
Branch,Matteson Township,Straight Party,,UST,U.S. Taxpayers,0,,,,
Branch,Matteson Township,Straight Party,,GRN,Green,0,,,,
Branch,Matteson Township,Straight Party,,WCP,Working Class,2,,,,
Branch,Matteson Township,Straight Party,,NLP,Natural Law,0,,,,
Branch,Noble Township,Straight Party,,DEM,Democratic,29,,,,
Branch,Noble Township,Straight Party,,REP,Republican,143,,,,
Branch,Noble Township,Straight Party,,LIB,Libertarian,0,,,,
Branch,Noble Township,Straight Party,,UST,U.S. Taxpayers,0,,,,
Branch,Noble Township,Straight Party,,GRN,Green,1,,,,
Branch,Noble Township,Straight Party,,WCP,Working Class,0,,,,
Branch,Noble Township,Straight Party,,NLP,Natural Law,0,,,,
Branch,Ovid Township,Straight Party,,DEM,Democratic,194,,,,
Branch,Ovid Township,Straight Party,,REP,Republican,748,,,,
Branch,Ovid Township,Straight Party,,LIB,Libertarian,3,,,,
Branch,Ovid Township,Straight Party,,UST,U.S. Taxpayers,0,,,,
