county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee_mail,provisional
Huron,"Colfax Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,11,,,,
Huron,"Colfax Township, Precinct 1",U.S. Senate,,UST,Dave Stein,7,,,,
Huron,"Colfax Township, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,2,,,,
Huron,"Colfax Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,6,,,,
Huron,"Colfax Township, Precinct 1",U.S. Senate,,,Write-ins,0,,,,
Huron,"Dwight Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,103,,,,
Huron,"Dwight Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,281,,,,
Huron,"Dwight Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,5,,,,
Huron,"Dwight Township, Precinct 1",U.S. Senate,,UST,Dave Stein,3,,,,
Huron,"Dwight Township, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,0,,,,
Huron,"Dwight Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,3,,,,
Huron,"Dwight Township, Precinct 1",U.S. Senate,,,Write-ins,2,,,,
Huron,"Fairhaven Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,14,,,,
Huron,"Fairhaven Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,68,,,,
Huron,"Fairhaven Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,0,,,,
Huron,"Fairhaven Township, Precinct 1",U.S. Senate,,UST,Dave Stein,0,,,,
Huron,"Fairhaven Township, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,0,,,,
Huron,"Fairhaven Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,0,,,,
Huron,"Fairhaven Township, Precinct 1",U.S. Senate,,,Write-ins,0,,,,
Huron,"Gore Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,32,,,,
Huron,"Gore Township, Precinct 1",U.S. Senate,,REP,Mike Rogers,67,,,,
Huron,"Gore Township, Precinct 1",U.S. Senate,,LIB,Joseph Solis-Mullen,1,,,,
Huron,"Gore Township, Precinct 1",U.S. Senate,,UST,Dave Stein,2,,,,
Huron,"Gore Township, Precinct 1",U.S. Senate,,GRN,Douglas P. Marsh,0,,,,
Huron,"Gore Township, Precinct 1",U.S. Senate,,NLP,Doug Dern,0,,,,
Huron,"Gore Township, Precinct 1",U.S. Senate,,,Write-ins,0,,,,
Huron,"Grant Township, Precinct 1",U.S. Senate,,DEM,Elissa Slotkin,94,,,,
